2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NSW [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:02 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,43,Hurstville South,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,67,6.88
NSW,103,Banks,43,Hurstville South,36330,HANNA,Natalie,4,N,N,GRN,The Greens,66,1.91
NSW,103,Banks,43,Hurstville South,37388,KHOUW,Steve,5,N,N,NAFD,,8,1.01
NSW,103,Banks,43,Hurstville South,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,22,2.78
NSW,103,Banks,43,Hurstville South,36774,SOON,Zhi,7,N,N,ALP,Labor,314,3.16
NSW,103,Banks,43,Hurstville South,999,Informal,Informal,999,N,N,,Informal,66,-0.48
NSW,103,Banks,4,Lugarno,37018,COLEMAN,David,1,Y,Y,LP,Liberal,1127,-8.27
NSW,103,Banks,4,Lugarno,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,39,1.91
NSW,103,Banks,4,Lugarno,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,110,3.31
NSW,103,Banks,4,Lugarno,36330,HANNA,Natalie,4,N,N,GRN,The Greens,158,2.56
NSW,103,Banks,4,Lugarno,37388,KHOUW,Steve,5,N,N,NAFD,,23,1.13
NSW,103,Banks,4,Lugarno,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,52,2.55
NSW,103,Banks,4,Lugarno,36774,SOON,Zhi,7,N,N,ALP,Labor,529,0.55
NSW,103,Banks,4,Lugarno,999,Informal,Informal,999,N,N,,Informal,139,1.45
NSW,103,Banks,97647,Lugarno North,37018,COLEMAN,David,1,Y,Y,LP,Liberal,241,-7.78
NSW,103,Banks,97647,Lugarno North,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,5,1.16
NSW,103,Banks,97647,Lugarno North,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,29,4.62
NSW,103,Banks,97647,Lugarno North,36330,HANNA,Natalie,4,N,N,GRN,The Greens,30,1.75
NSW,103,Banks,97647,Lugarno North,37388,KHOUW,Steve,5,N,N,NAFD,,1,0.23
