2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,8777,Kambah South,37198,HIATT,Jane,6,N,N,LP,Liberal,344,-1.7
ACT,318,Bean,8777,Kambah South,999,Informal,Informal,999,N,N,,Informal,50,-3.01
ACT,318,Bean,8778,Kambah West,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,61,0.99
ACT,318,Bean,8778,Kambah West,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,47,2.57
ACT,318,Bean,8778,Kambah West,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,766,2.53
ACT,318,Bean,8778,Kambah West,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,139,-1.12
ACT,318,Bean,8778,Kambah West,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,264,0.51
ACT,318,Bean,8778,Kambah West,37198,HIATT,Jane,6,N,N,LP,Liberal,551,1.29
ACT,318,Bean,8778,Kambah West,999,Informal,Informal,999,N,N,,Informal,50,-2.2
ACT,318,Bean,93909,Lyons (Bean),36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,12,0.51
ACT,318,Bean,93909,Lyons (Bean),37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,13,2.33
ACT,318,Bean,93909,Lyons (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,242,4.94
ACT,318,Bean,93909,Lyons (Bean),32130,CHRISTIE,Jamie,4,N,N,IND,Independent,46,-0.26
ACT,318,Bean,93909,Lyons (Bean),36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,124,3.28
ACT,318,Bean,93909,Lyons (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,122,-4.78
ACT,318,Bean,93909,Lyons (Bean),999,Informal,Informal,999,N,N,,Informal,14,-3
ACT,318,Bean,8780,Mawson,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,38,0.42
ACT,318,Bean,8780,Mawson,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,29,1.64
ACT,318,Bean,8780,Mawson,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,800,6.98
ACT,318,Bean,8780,Mawson,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,129,-2.08
ACT,318,Bean,8780,Mawson,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,351,4
ACT,318,Bean,8780,Mawson,37198,HIATT,Jane,6,N,N,LP,Liberal,426,-5.58
ACT,318,Bean,8780,Mawson,999,Informal,Informal,999,N,N,,Informal,58,-1.88
ACT,318,Bean,8781,Monash,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,50,0.67
