StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,TotalVotes,Progressive,Conservative,Other,Leaning
NSW,103,Banks,56472,Carlton South (Banks),1070,0.44766355140186914,0.34205607476635513,0.2102803738317757,-0.10560747663551401
NSW,103,Banks,56500,Beverly Hills North (Banks),304,0.39144736842105265,0.28618421052631576,0.3223684210526316,-0.10526315789473689
NSW,103,Banks,57281,Revesby,1323,0.3922902494331066,0.36961451247165533,0.23809523809523808,-0.022675736961451254
NSW,103,Banks,58722,Padstow BANKS PPVC,10781,0.3896670067711715,0.476671922827196,0.1336610704016325,0.0870049160560245
NSW,103,Banks,65425,EAV Banks PPVC,22,0.4090909090909091,0.4090909090909091,0.18181818181818182,0
NSW,103,Banks,79612,Beverly Hills South (Banks),553,0.4448462929475588,0.32368896925858953,0.2314647377938517,-0.12115732368896925
NSW,103,Banks,79613,Hurstville (Banks),447,0.5145413870246085,0.3333333333333333,0.15212527964205816,-0.18120805369127518
NSW,103,Banks,79614,Hurstville East (Banks),286,0.5174825174825175,0.2762237762237762,0.2062937062937063,-0.2412587412587413
NSW,103,Banks,83630,Oatley East,727,0.3672627235213205,0.5075653370013755,0.12517193947730398,0.14030261348005502
NSW,103,Banks,83635,Picnic Point South,180,0.2388888888888889,0.6055555555555555,0.15555555555555556,0.3666666666666666
NSW,103,Banks,97610,Sydney BANKS PPVC,351,0.5413105413105413,0.4017094017094017,0.05698005698005698,-0.13960113960113962
NSW,103,Banks,97644,Central Sydney BANKS PPVC,212,0.5660377358490566,0.36792452830188677,0.0660377358490566,-0.19811320754716982
NSW,103,Banks,97645,Haymarket BANKS PPVC,115,0.5565217391304348,0.33043478260869563,0.11304347826086956,-0.22608695652173916
NSW,103,Banks,97646,Bankstown BANKS PPVC,808,0.43935643564356436,0.3626237623762376,0.19801980198019803,-0.07673267326732675
NSW,103,Banks,97647,Lugarno North,453,0.3068432671081678,0.5320088300220751,0.16114790286975716,0.22516556291390732
NSW,103,Banks,108389,Central Sydney (Banks),18,0.7222222222222222,0.16666666666666666,0.1111111111111111,-0.5555555555555556
NSW,103,Banks,108390,Sydney (Banks),36,0.4444444444444444,0.4166666666666667,0.1388888888888889,-0.027777777777777735
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,357,0.45098039215686275,0.484593837535014,0.06442577030812324,0.03361344537815125
NSW,104,Barton,32,Arncliffe,1335,0.6119850187265917,0.1707865168539326,0.21722846441947566,-0.44119850187265913
NSW,104,Barton,34,Arncliffe Central,1602,0.581772784019975,0.20786516853932585,0.2103620474406991,-0.37390761548064916
NSW,104,Barton,38,Brighton-Le-Sands (Barton),1737,0.4605641911341393,0.32700057570523894,0.21243523316062177,-0.13356361542890038
NSW,104,Barton,47,Carlton South (Barton),732,0.5560109289617486,0.2390710382513661,0.20491803278688525,-0.31693989071038253
NSW,104,Barton,50,Kogarah Central,1870,0.5914438502673797,0.2358288770053476,0.17272727272727273,-0.35561497326203206
NSW,104,Barton,51,Kyeemagh,1232,0.476461038961039,0.3133116883116883,0.21022727272727273,-0.16314935064935066
NSW,104,Barton,62,Rockdale,1366,0.5527086383601757,0.19838945827232796,0.24890190336749635,-0.35431918008784774
NSW,104,Barton,63,Rockdale Central,1481,0.5833896016205267,0.21809588116137746,0.19851451721809588,-0.3652937204591492
NSW,104,Barton,1010,Marrickville South,899,0.7819799777530589,0.11345939933259176,0.10456062291434928,-0.6685205784204672
NSW,104,Barton,1011,Marrickville West (Barton),1657,0.8219674109837055,0.10259505129752565,0.07543753771876886,-0.7193723596861799
NSW,104,Barton,1016,Marrickville Park (Barton),1026,0.7387914230019493,0.12962962962962962,0.13157894736842105,-0.6091617933723197
NSW,104,Barton,1470,Tempe,1327,0.760361718161266,0.14544084400904295,0.09419743782969103,-0.614920874152223
NSW,104,Barton,2640,Bexley East,1123,0.578806767586821,0.19857524487978628,0.2226179875333927,-0.38023152270703475
NSW,104,Barton,2641,Turrella,616,0.6347402597402597,0.19642857142857142,0.16883116883116883,-0.4383116883116883
NSW,104,Barton,2642,Arncliffe West,2446,0.5302534750613246,0.15821749795584628,0.3115290269828291,-0.3720359771054783
NSW,104,Barton,2643,Bardwell Park,1070,0.5476635514018692,0.2953271028037383,0.15700934579439252,-0.25233644859813087
NSW,104,Barton,2645,Beverly Hills,1073,0.47530288909599255,0.30941286113699906,0.21528424976700838,-0.1658900279589935
NSW,104,Barton,2646,Beverly Hills South (Barton),618,0.5161812297734628,0.2750809061488673,0.2087378640776699,-0.2411003236245955
NSW,104,Barton,2647,Bexley,1721,0.5217896571760604,0.21499128413712956,0.26321905868681,-0.30679837303893087
NSW,104,Barton,2649,Bexley North,1175,0.5736170212765958,0.24085106382978724,0.18553191489361703,-0.3327659574468085
